Winkel in °, Counts pro Minute, Fehler counts pro Minute
-5, 14, 3
-4, 14, 3
-3, 20, 4
-2, 14, 3
-1, 12, 3
0, 16, 4
1, 18, 4
2, 21, 4
3, 24, 4
4, 16, 4
5, 21, 4
